"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1810","test_add_to_cart","tests","2026-03-05","passed","2026-03-05","","test_add_to_cart","",""
"","218","test_scroll_into_view","tests.ui_advanced","2026-03-05","passed","2026-03-05","","test_scrolling","",""
"","518","test_dynamic_add_remove","tests.ui_advanced","2026-03-05","passed","2026-03-05","","test_xpath_relations","",""
"","282","test_scroll_to_bottom","tests.ui_advanced","2026-03-05","passed","2026-03-05","","test_scrolling","",""
